PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0Epk8,8/8/6p1/7p/3k4/p6P/P1K3P1/8 b - - 1 45,d4c4 h3h4 c4d4 c2b3,1995,77,92,465,crushing endgame pawnEndgame quietMove short,https://lichess.org/xrlxV9ZT/black#90,
0Epqf,8/7p/7P/1RK5/2p3p1/3b2P1/3k4/8 w - - 3 55,b5b2 d2e3 c5b4 e3f3,2055,88,89,66,crushing defensiveMove endgame short,https://lichess.org/mQQd6qyn#109,
0Epqp,4rk2/p2Qn1pp/1p6/1P2R1p1/3P4/1P4P1/2P2PKP/q7 b - - 4 29,a1c3 e5e3 c3c8 e3e7 c8d7 e7d7,2277,83,90,1318,crushing endgame long,https://lichess.org/i9efhb5f/black#58,
0EprD,r3r1k1/1q1b1p1p/p2Q2pB/1p1P4/8/PB5P/1bP2PP1/R4RK1 b - - 0 19,b2a1 f1a1 b7b8 d6d7,2155,84,90,520,advantage middlegame short,https://lichess.org/CJzzQyg5/black#38,
0EpuB,8/R3k1p1/7p/5K1P/6P1/5P2/p7/5r2 b - - 6 43,e7d6 a7a2 f1f3 f5g6 f3f4 a2g2,2143,75,95,1123,crushing defensiveMove endgame long rookEndgame,https://lichess.org/UTlUtZ85/black#86,
0Eput,r1b1k2r/8/p1p1p3/1pp1p2q/4P3/2P2PQ1/PP2K1P1/3RR3 b kq - 0 26,c8d7 e1h1 h5h1 d1h1 h8h1 g3g8 e8e7 g8a8,1989,76,80,67,advantage exposedKing middlegame skewer veryLong,https://lichess.org/PKewOm3G/black#52,
0Epyq,5rk1/p1p2pbp/2q5/3N1b2/1p3P2/1P1n4/PBP2Q1P/1K4R1 b - - 3 23,d3b2 d5e7 g8h8 e7c6,1099,77,95,2990,crushing fork middlegame short,https://lichess.org/He2GAZIw/black#46,
0Epz7,4rrk1/ppp5/3q1p1Q/4n3/3PBpP1/2P3K1/PP6/R6R w - - 0 27,g3f4 e5f7 f4f3 f7h6,1320,79,93,10952,crushing discoveredAttack discoveredCheck middlegame short,https://lichess.org/mvaYsJ8T#53,
0Eq1D,5r2/6pk/6pp/5q2/4r3/8/P3Q1PP/4R1K1 w - - 8 33,e2e4 f5f2 g1h1 f2f1 e1f1 f8f1,1283,75,97,513,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/JDxkMEmN#65,
0Eq1u,3Q3R/2p2pp1/3pb2p/3q3k/pp1b4/5N1P/1P4P1/7K b - - 1 41,d5e4 d8g5,2015,81,77,367,endgame mate mateIn1 oneMove pin,https://lichess.org/bqkG2Nk0/black#82,
0Eq4R,2r2rk1/pp5p/4p1p1/7P/3pbP2/6Q1/PP1R2P1/K1q4R w - - 2 27,h1c1 c8c1,607,104,75,334,backRankMate endgame master mate mateIn1 oneMove,https://lichess.org/qWMBF42H#53,
0Eq98,1k1r4/pp2pp2/2q5/4P1b1/2P1Q3/1R6/P1P4r/5KR1 w - - 0 27,e4c6 d8d1,881,121,100,38,endgame mate mateIn1 oneMove,https://lichess.org/R7Pn4PbW#53,
0EqAP,6q1/7k/3pr2p/ppp5/3p3N/PP5Q/1P3RPK/4r3 b - - 3 37,e1e2 f2e2 e6e2 h3d3 h7g7 d3e2,2278,93,60,33,advantage attraction endgame fork long,https://lichess.org/V4H6nZzF/black#74,
0EqBt,r1b2qk1/pp1nprb1/7p/2p3B1/2N5/3Q1N2/PPP2PP1/2KR3R b - - 1 15,h6g5 d3h7,1115,77,85,527,mate mateIn1 middlegame oneMove,https://lichess.org/TKJLUgDS/black#30,Modern_Defense Modern_Defense_Other_variations
0EqJU,2k3r1/pp5p/5p2/3N4/3p4/P4R1P/2P3PK/2r5 b - - 3 38,c1c2 d5e7 c8d7 e7g8,1034,86,67,38,advantage endgame fork short,https://lichess.org/q2H7luIO/black#76,
0EqMz,1rbq1rk1/b1p1n2p/1n1p4/1p2PNp1/3P1N2/3QB2P/1PB2PP1/3RR1K1 b - - 0 22,g5f4 f5h6 g8h8 d3h7,1445,75,89,1316,discoveredAttack kingsideAttack mate mateIn2 middlegame short,https://lichess.org/vcuPO3ny/black#44,
0EqRt,r3k2r/ppp1q3/3pp1pb/4p1Np/3nP1n1/N2P3Q/PPP2PPP/R1B1K2R w KQkq - 1 13,f2f3 h6g5,1320,74,66,244,advantage middlegame oneMove,https://lichess.org/cAy36lGe#25,Kings_Pawn_Game Kings_Pawn_Game_Wayward_Queen_Attack
0EqUQ,8/8/p3p1pk/3pP3/2q2R2/6Pp/P4P1K/1Qr5 b - - 2 34,c4f1 f4h4 h6g5 f2f4 f1f4 g3f4,1420,76,93,969,crushing endgame long,https://lichess.org/3f63cOPo/black#68,
0Eqb9,3n4/8/3P4/2K3k1/1P4P1/8/8/8 b - - 0 47,g5f6 c5b6 f6e5 b6c7,2003,138,23,15,crushing endgame knightEndgame short,https://lichess.org/zMp68VGl/black#94,
0Eqfr,6k1/5ppp/4pn2/2bpN3/p3nP2/4q3/1PQr2PP/1R2BR1K w - - 10 35,e1d2 e3g1 f1g1 e4f2,1421,89,75,663,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/LlBLC8NA#69,
0Eqjc,8/p6p/4kp2/1p4r1/1Pp3N1/P1B2KP1/2P4P/8 w - - 4 31,c3f6 g5f5 f3e4 h7h5 g4e5 f5f6,2180,86,78,49,advantage endgame long,https://lichess.org/QXJpz0l2#61,
0Eqo8,8/8/8/4k3/5R2/6K1/8/r7 w - - 23 95,g3g4 a1g1 g4f3 g1f1 f3e3 f1f4,849,79,100,133,crushing endgame long rookEndgame,https://lichess.org/voVZyWbO#189,
0Eqs5,r4r2/1p3pkp/p1npp3/q6p/3PP3/2N2P2/PP1QBP2/2KR4 b - - 1 18,a8c8 d1g1 g7f6 d4d5,2777,109,88,413,advantage middlegame short,https://lichess.org/gu5qpTvo/black#36,Sicilian_Defense Sicilian_Defense_Delayed_Alapin
0EqsA,r3k2r/pp1nbppp/2p1pn2/8/7q/1B2BQ2/PPP1NPPP/3R1RK1 b kq - 7 13,e8g8 d1d4 d7e5 d4h4 e5f3 g2f3,1961,75,92,451,advantage long middlegame,https://lichess.org/OxBfYMuk/black#26,Scandinavian_Defense Scandinavian_Defense_Gubinsky-Melts_Defense
0EqtU,r2k2br/1p1n4/p6p/3p1NNQ/3np3/BPq5/P5B1/R4RK1 w - - 0 23,f5d4 c3d4 f1f2 d4a1,1284,76,80,124,crushing deflection middlegame short,https://lichess.org/IoUwA7eA#45,
0Eqto,r2qk1nr/pp2p2p/2n3p1/1B1pb3/8/2N2Q1P/PP3PP1/R1B1K2R w KQkq - 0 12,f3d5 e5c3 b2c3 d8d5,1133,86,85,140,crushing intermezzo middlegame short,https://lichess.org/0OGojaNd#23,Sicilian_Defense Sicilian_Defense_Alapin_Variation
0Eqvq,8/5pk1/6p1/3pp2p/1QbqP2P/6P1/5P2/5BK1 w - - 0 38,e4d5 c4f1 b4d4 e5d4 g1f1 g7f6 f1e2 f6e5 d5d6 e5d6,1869,77,90,1044,crushing endgame veryLong,https://lichess.org/Bvj3nhWj#75,
0Eqzi,8/2pk3p/P2pq1p1/5p2/1Q3P1P/1P2n3/2P3P1/2K5 b - - 0 30,e6e8 b4b5 c7c6 b5b7 d7e6 a6a7,1369,75,89,371,advancedPawn crushing endgame long,https://lichess.org/UX4iR44g/black#60,
0ErBh,Qb6/5ppk/4bp1p/4R3/8/2r4P/5PP1/6K1 w - - 0 34,e5e6 c3c1 e6e1 c1e1,823,110,94,556,endgame mate mateIn2 pillsburysMate short,https://lichess.org/2HTq7Bvw#67,
0ErJx,1r1q1rk1/4bppp/2pp4/2p1p3/2P1PRQ1/1P1P3P/1B1N2P1/R5K1 b - - 0 17,e5f4 g4g7,578,85,100,121,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/JZgsq2lf/black#34,Sicilian_Defense Sicilian_Defense_Modern_Variations
0ErKL,6k1/1p1qpp1p/p2p2p1/2r4n/Pb2P3/3RQPB1/4NPKP/8 b - - 4 30,g8g7 e3d4 f7f6 d4b4,1381,109,88,45,advantage fork middlegame short,https://lichess.org/BRUNFZ1D/black#60,
0ErLd,5k2/1R6/6K1/2p1p2P/4r3/8/8/8 b - - 1 49,e4h4 h5h6 e5e4 b7b8 f8e7 g6g5 h4h6 g5h6,2296,165,0,12,crushing endgame exposedKing rookEndgame veryLong,https://lichess.org/ntPlSnhK/black#98,
0ErMS,8/8/3n1P2/8/k5P1/8/8/6K1 b - - 0 46,a4b5 g4g5 b5c6 g5g6 c6d7 g6g7 d7e6 g7g8q,1308,79,93,1016,advancedPawn crushing endgame knightEndgame promotion quietMove veryLong,https://lichess.org/KdTWhMT2/black#92,
0ErOq,r4rk1/pbq1bppp/1pn2n2/2pp4/8/1BPP1NN1/PP2QPPP/R1B1R1K1 b - - 1 13,c6a5 e2e7 c7e7 e1e7,821,90,97,1505,crushing middlegame short,https://lichess.org/jkFmSRDz/black#26,Sicilian_Defense Sicilian_Defense_Modern_Variations
0ErXa,1r3r2/p6k/3p3n/q1pPpppP/8/2P2B2/PP1Q1P2/1K1R3R w - - 0 24,d2g5 b8b2 b1b2 f8b8 b2c2 a5a2 c2d3 c5c4 d3e3 f5f4 g5f4 e5f4,2370,80,64,99,attraction crushing deflection middlegame queensideAttack sacrifice veryLong,https://lichess.org/vCmkQavm#47,
0ErXg,1r4k1/5p1p/6pB/p2Q4/q2b4/7P/5PP1/3R2K1 b - - 0 26,d4f6 d5d6 a4d1 d6d1,1659,74,91,1262,crushing endgame fork master short,https://lichess.org/vwHSRmtK/black#52,
0ErXk,2r5/1p3ppk/pN1p2qp/P2Pp3/1P2Pb2/5Q2/5PP1/3R2K1 b - - 4 31,c8c1 d1c1 f4c1 b6d7 h7g8 f3c3,2225,84,89,720,advantage endgame long,https://lichess.org/tBApF8pw/black#62,
0ErZ8,r6k/ppp3pp/6r1/8/1Q1Pn3/3BBq1P/P4P1K/R4R2 w - - 4 22,d3e4 g6g2 h2h1 f3h3,1563,75,86,385,deflection mate mateIn2 middlegame short,https://lichess.org/NjF5KyXU#43,
0ErZn,4rk2/1RQ2p2/2p1q1p1/7p/7P/P5P1/5P2/6K1 w - - 4 36,g1g2 e6d5 g2h2 e8e1 c7b8 f8g7,1951,82,59,44,clearance crushing defensiveMove endgame long quietMove,https://lichess.org/lS8mETQa#71,
0Era1,r6k/1pp3p1/3p3p/pP2p1r1/P1B3Q1/2PPq2P/8/R4R1K w - - 2 23,g4f3 g5g1 h1h2 e3f3 f1f3 g1a1,1513,75,100,962,advantage long middlegame,https://lichess.org/l6ESuErl#45,
0ErbV,6r1/2R1kp2/4p2p/pp2P3/5P2/1P1n3P/P7/5K2 b - - 5 32,e7e8 c7c8 e8d7 c8g8,621,97,80,476,advantage endgame short skewer,https://lichess.org/sGrC2Nta/black#64,
0ErhC,8/8/1p1p3R/8/P1k5/2P1K3/1r6/8 b - - 2 44,d6d5 h6c6 c4b3 c6b6,1341,75,95,240,crushing endgame interference rookEndgame short,https://lichess.org/9siPowkw/black#88,
0Erj4,3q2rk/1p2bprp/p3p3/3NQ3/1P6/P2PR1P1/2P2P1P/R5K1 b - - 0 22,d8d5 e5d5 e6d5 e3e7,1087,79,89,206,crushing discoveredAttack middlegame short,https://lichess.org/wUQmdF0z/black#44,
0ErjB,4r1k1/5pP1/p4r1p/1p1p2q1/P1pPnN2/2P2R1P/6P1/3Q1RK1 w - - 1 31,a4b5 f6f4 f3f4 e4c3 f1e1 e8e1 d1e1 g5f4,2523,117,91,993,crushing deflection kingsideAttack master masterVsMaster middlegame veryLong,https://lichess.org/waZp18Wd#61,
0ErkL,2r2r2/2p2kpp/1p1pR3/1q1PpPQ1/6P1/7P/8/2R3K1 b - - 3 37,b5d5 e6e7 f7g8 g5g7,1711,74,99,1726,endgame mate mateIn2 short,https://lichess.org/FBhL38kM/black#74,
0Erl9,2r5/5kp1/p1n4p/1p1N4/r7/6P1/7P/2RR2K1 b - - 0 38,a4d4 d1d4 c6d4 c1c8,1520,82,94,22489,advantage endgame short,https://lichess.org/BCD0NVCs/black#76,
0EroP,4Q3/1Rr3p1/4p1kp/q4p2/3Pp3/b3P1PP/5P2/6K1 b - - 11 33,g6f6 e8d8 a3e7 d8c7 a5c7 b7c7,1603,75,92,443,advantage endgame long,https://lichess.org/5khfuEcd/black#66,
0ErpE,2rq2k1/1p1bb1p1/p1nnprN1/3p2NQ/3P1P2/P3P3/1P5P/R1B2RK1 b - - 4 19,f6g6 h5h7 g8f8 h7h8,1104,86,93,3608,fork mate mateIn2 middlegame short,https://lichess.org/5u8V0cXR/black#38,Canard_Opening Canard_Opening_Other_variations
0Erv8,r2q1rk1/pp3ppp/2p1b3/2Nn4/2QP4/5N2/PP3PPP/2R2RK1 b - - 3 16,d5e3 c5e6 e3c4 e6d8,1213,75,94,2477,advantage middlegame short,https://lichess.org/Uxaw98fS/black#32,Italian_Game Italian_Game_Classical_Variation
0ErvQ,r5k1/p1p3p1/8/2P1PqB1/P6Q/1P1r4/6PP/R6K w - - 0 29,a1f1 f5f1,678,97,76,452,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/JBbTcNFs#57,
0Ervt,3r1k2/5pp1/4p1q1/2b1N1P1/p1Pn4/P6Q/1P3P2/K6R b - - 5 28,g6g5 h3h8 f8e7 h8d8 e7d8 e5f7 d8d7 f7g5,1849,75,92,919,advantage attraction fork middlegame sacrifice veryLong,https://lichess.org/2Rju3UWj/black#56,
0Erxs,rnb1kb1r/p2ppppp/8/BB2P3/3P4/8/Pn3PPP/2R1K1NR b Kkq - 1 10,a7a6 c1c8,817,78,100,106,hangingPiece mate mateIn1 oneMove opening,https://lichess.org/wV6FD9Uc/black#20,Alekhine_Defense Alekhine_Defense_OSullivan_Gambit
0Es0q,4r2k/5Rp1/Q6p/8/1P4q1/P7/2r3P1/5R1K w - - 1 38,f7f2 g4h4 h1g1 h4d4 a6d6 d4d6,2507,98,90,763,crushing endgame long pin,https://lichess.org/ohXwLvOm#75,
0Es4l,r3k2r/pppqbpp1/3p3p/4P3/5Q2/2N5/PPP2PPP/2KR3R w kq - 0 13,c3d5 e7g5 f4g5 h6g5,945,106,86,33,advantage middlegame pin short,https://lichess.org/xwBIaVZs#25,Scotch_Game Scotch_Game_Lolli_Variation
0Es73,5r2/1q5k/pn4pp/2Q5/5p2/1BP4P/PP1r2p1/4R1K1 b - - 2 30,b7f7 b3f7 f8f7 e1e7,2373,103,85,989,advantage master middlegame short,https://lichess.org/70gDmvwz/black#60,
0EsAV,8/2k5/p1p5/2PnN3/1P2R1pK/P7/8/5r2 w - - 0 60,h4g4 d5f6 g4h3 f6e4,1177,75,94,324,crushing endgame fork master short,https://lichess.org/dFOwcSk8#119,
0EsDQ,rn3rk1/1bq2ppp/p3B3/1p2b3/6Q1/2P5/PP1N2PP/R4R1K b - - 0 18,f7e6 g4e6 c7f7 f1f7,1228,86,69,36,advantage kingsideAttack middlegame short,https://lichess.org/UHkkQwFM/black#36,Sicilian_Defense Sicilian_Defense_French_Variation
0EsFd,3r1rk1/pbp3pp/1p2R3/8/2BP2Q1/2P5/PP4PP/5q1K w - - 2 21,c4f1 f8f1,490,102,97,622,endgame mate mateIn1 oneMove,https://lichess.org/iAtCmdvg#41,
0EsGB,5rk1/pp1r1pp1/7p/6q1/P5R1/1P3QPP/6PK/5R2 b - - 3 31,g5h5 g4g7 g8g7 f3h5,1154,75,97,181,crushing discoveredAttack endgame short,https://lichess.org/OQBGD4gb/black#62,
0EsJ2,6rk/p3Q1pp/2p2R2/3P3r/7q/2B5/PP3KR1/8 w - - 3 33,f2f3 h5f5 f6f5 h4e7,1917,75,90,199,advantage middlegame short,https://lichess.org/ou9JrnSw#65,
0EsSZ,2k5/ppp1np1r/2p2B1p/2b5/4P3/2N2P1q/PPP1KP2/3R2R1 b - - 4 16,h3h2 g1g8 e7g8 d1d8,1837,77,65,240,mate mateIn2 middlegame operaMate sacrifice short,https://lichess.org/hQtd9Arj/black#32,Ruy_Lopez Ruy_Lopez_Other_variations
0EsUy,r1q1r1k1/ppp1Rppp/2b5/5n1N/3Q4/1B6/PPP2PPP/3R2K1 w - - 7 20,b3f7 g8f8 e7e8 c6e8,1841,80,87,164,advantage middlegame short,https://lichess.org/QxoP0ta5#39,
0EsVM,B5k1/p4pp1/7p/6r1/7q/PP2P3/5PK1/2RQ1R2 w - - 1 27,g2f3 h4g4,1265,82,94,2641,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/KSLpbLD0#53,
0EsZA,r1b1k2r/1pqp1ppp/p3pn2/4n3/2PNP3/2PBB3/P1Q2PPP/R3K2R w KQkq - 3 13,e3f4 e5d3 c2d3 c7f4,1041,79,93,2290,crushing discoveredAttack middlegame short,https://lichess.org/BM9KcZnW#25,Sicilian_Defense Sicilian_Defense_Kan_Variation
0EsaE,4r1k1/1pp2ppp/8/4P3/5q2/5B2/PP3Q2/3R2K1 w - - 0 31,f3b7 f4g4 g1f1 g4d1,1237,86,94,6573,crushing endgame fork short,https://lichess.org/VW0tvoqL#61,
0Esal,2kr3r/pppb3p/7n/3Np3/3qP1p1/bP3P2/P1QPB1PP/1R2K2R b K - 1 17,g4f3 c2c7,1251,75,93,521,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/HaZUGqjZ/black#34,Scandinavian_Defense Scandinavian_Defense_Other_variations
0EscM,8/5pk1/Q5p1/3P3p/3nP3/5P2/1q4PP/5RK1 w - - 1 35,a6d3 d4e2 d3e2 b2e2,1033,77,100,72,advantage endgame master short,https://lichess.org/WGEix7et#69,
0EsdW,8/5pk1/3RnR2/r3P1p1/p7/4K3/P7/8 w - - 8 56,d6d7 a5e5 e3f2 g7f6,1219,77,92,1854,crushing endgame short,https://lichess.org/z1VkhQCi#111,
0Esjt,5r2/p2RqP1k/2p1P1pp/2p1Q3/2P5/7P/6PK/5r2 b - - 4 47,e7f6 e5f6 f1f6 e6e7,1201,83,91,1969,advancedPawn crushing endgame short,https://lichess.org/dVwzzkHh/black#94,
0Esn7,2bq2k1/7p/6p1/7r/1R3Pp1/4Q3/2P5/5RK1 w - - 1 28,b4e4 d8h4 e4e8 g8f7 e3b3 f7e8 b3g8 e8e7,2420,88,85,59,advantage endgame quietMove veryLong,https://lichess.org/V6ksVEvn#55,
0EsnB,1q6/8/1r4k1/Q1Rp2pp/4p3/2P1P2P/5PP1/6K1 w - - 0 49,c5d5 b6b1 d5d1 b1d1,956,165,100,20,endgame mate mateIn2 short,https://lichess.org/j1XaT7f2#97,
0EsnS,R7/6pk/1B5p/P3p3/8/3n1P2/2rr1RPP/6K1 w - - 3 28,f2d2 c2c1 d2d1 c1d1,1112,77,70,161,endgame mate mateIn2 short,https://lichess.org/sG5r3PM8#55,
0Esnq,r1b2k2/2p3p1/p3qn1p/1p3p1P/3PpP2/2P5/PP1QP3/2KR1B1R w - - 0 18,c1b1 e4e3 d2c2 c8b7 d4d5 b7d5,1852,76,88,140,advantage long middlegame,https://lichess.org/GMIElWBg#35,Queens_Pawn_Game Queens_Pawn_Game_Torre_Attack
0Eso7,1r3rk1/1p2Rpbp/pB3np1/3Pp3/b1N5/5B1P/PP3PP1/5RK1 w - - 3 24,e7e5 a4b5 e5e7 b5c4,1504,90,9,26,advantage master middlegame short,https://lichess.org/04ABFUvJ#47,
0EsqH,1R6/1P6/4p3/3p2Pp/3P4/4p1k1/1r6/5K2 b - - 0 44,h5h4 g5g6 h4h3 g6g7 g3f3 b8f8,1843,75,93,551,advancedPawn crushing endgame long rookEndgame,https://lichess.org/alZ3j2lg/black#88,
0EssV,4rr2/3n2k1/pp1p2p1/3P1p1p/1qPN1R1P/6Q1/P5P1/5RK1 b - - 3 30,d7f6 d4f5 g7h7 f5d4,2061,115,88,74,advantage defensiveMove master middlegame pin short,https://lichess.org/WpdD1VtU/black#60,
0Esux,r1b1Q3/pk3R2/4p3/2pn4/8/P1P1b3/1P1q2PP/7K b - - 7 31,d5c7 e8b5,1222,77,93,125,epauletteMate mate mateIn1 middlegame oneMove pin,https://lichess.org/Z5Cf9a0u/black#62,
0EsxJ,8/1P6/Pk3p2/6pP/5b2/8/4K3/8 b - - 0 45,b6a6 h5h6 a6b7 h6h7 f6f5 h7h8q,1305,78,93,2001,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/RYhT5HBX/black#90,
0EszQ,8/6pp/5p2/R1P2k2/4pP2/4K1P1/2r4P/8 b - - 2 38,c2h2 c5c6 f5e6 a5c5 e6d6 c6c7,1998,76,85,120,advancedPawn clearance crushing discoveredAttack discoveredCheck endgame long quietMove rookEndgame,https://lichess.org/TKKentKw/black#76,
0Et5C,8/5k2/3R4/2P5/1p1p1pp1/4b3/1P4K1/8 w - - 0 63,c5c6 f4f3 g2g3 e3f4 g3f4 f3f2 f4e5 f2f1q,2125,74,88,431,advancedPawn crushing endgame exposedKing master promotion sacrifice veryLong,https://lichess.org/vTwo95TT#125,
0Et5n,1qr4k/5Qbp/p5p1/1p4N1/8/1P5P/P4PP1/4R1K1 w - - 1 34,e1e7 c8c1 e7e1 c1e1,667,107,76,482,endgame mate mateIn2 short,https://lichess.org/zSICHP7n#67,
0Et6s,r2q1r2/1b4p1/p3pPk1/2bn2N1/1p2Q3/8/PP3PPP/R1B2RK1 b - - 0 19,g6f6 e4e6,1419,77,96,7309,master mate mateIn1 middlegame oneMove,https://lichess.org/6K4duXSE/black#38,
0EtBt,4R3/kp3Q2/p3P3/3p1p2/1P1P1P2/4B3/2r1qP1K/8 w - - 1 40,f7d7 e2e3 e8a8 a7a8 d7c8 c2c8,2138,89,85,29,crushing endgame long pin,https://lichess.org/GDJMnEvV#79,
0EtCP,2r2rk1/pp3pp1/1q2p2p/8/2PNn3/4P1P1/P3QPP1/R3R1K1 w - - 1 19,e1b1 e4c3 e2b2 c3b1 b2b6 a7b6,1745,75,95,10187,crushing fork long middlegame,https://lichess.org/u0P2Hafb#37,Queens_Pawn_Game Queens_Pawn_Game_Mason_Variation
0EtCq,r1b2k1r/ppq1Bpp1/4p3/1Bpn4/8/3Q2P1/P1P2P1P/3RR1K1 b - - 0 21,d5e7 d3d8 c7d8 d1d8,709,110,93,98,backRankMate mate mateIn2 middlegame short,https://lichess.org/Ap68tX5A/black#42,
0EtJW,3q4/3r1r1p/pQR3pk/3N3n/P4p1P/5P2/1P3P2/3R2K1 b - - 0 28,d7d5 b6d8 d5d8 d1d8,1766,75,83,264,crushing middlegame short xRayAttack,https://lichess.org/kBiTZlg5/black#56,
0EtLD,2rqrb2/n4p1k/8/pQ1pP2p/1p1P1Bp1/1P4P1/6PP/2RRN1K1 w - - 5 32,c1c8 a7b5 c8d8 e8d8,1872,74,86,95,advantage middlegame short,https://lichess.org/GBkKyRyG#63,
0EtLq,8/8/3rk2p/1K2ppp1/R3P3/5P2/6PP/8 b - - 0 40,f5f4 a4a6 d6a6 b5a6,1535,75,75,211,crushing endgame rookEndgame short,https://lichess.org/idxsG5RX/black#80,
0EtOb,8/5k2/1p1p2pp/1P1P1p1P/6P1/5PK1/8/8 w - - 0 44,g3f4 g6h5 f4f5 h5h4,2301,78,78,66,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/FjqtPhhM#87,
0EtPf,2r2rk1/p3qppp/1p2p3/2nb4/3N4/P3P3/1PQ2PPP/1BR2RK1 b - - 1 17,e7b7 c2h7,889,79,86,65,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ktQn4phs/black#34,Queens_Gambit_Declined Queens_Gambit_Declined_Traditional_Variation
0EtU7,rnbqkb1r/ppp2ppp/5n2/3pp3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e1g1 d5e4 d3e4 f6e4,1161,81,92,2416,crushing fork opening short,https://lichess.org/YngohpVA#7,Russian_Game Russian_Game_Other_variations
0EtZG,r1bqkb1r/pp3ppp/2n2n2/1Bp1p3/4P3/5N2/PPPP2PP/RNBQ1RK1 w kq - 2 7,f3e5 d8d4 g1h1 d4e5,1059,87,92,72,advantage fork opening short,https://lichess.org/RTiIeGtX#13,Kings_Gambit_Declined Kings_Gambit_Declined_Mafia_Defense
0EtZN,3r2rk/bpp1R3/p4Nbp/8/3P2PN/2P4P/PP1q4/5R1K b - - 2 31,g8g7 h4g6 g7g6 e7h7,1391,75,85,526,arabianMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/NQYesWiq/black#62,
0EtdZ,7k/1p4p1/p1p2n1p/3p1q2/1P3r2/P5QP/1B4PK/4R3 w - - 2 34,b2f6 f5f6 e1e8 h8h7,1260,79,85,85,advantage endgame short,https://lichess.org/lNkkljE8#67,
0Etdg,8/8/3p4/P2k3p/6p1/1P6/5KP1/8 w - - 0 51,a5a6 d5c6 a6a7 c6b7 a7a8q b7a8,1008,90,95,1921,crushing endgame long pawnEndgame,https://lichess.org/cwnQJAx4#101,
0Etfi,r4k2/3q1pp1/3P3p/1p1Q4/1Pp5/5P1P/5P2/4R1K1 b - - 2 33,a8d8 e1e7 d7e7 d6e7,1295,102,82,53,advancedPawn crushing endgame master short,https://lichess.org/qvQjCzvH/black#66,
0Ethq,1k6/1p3r2/p2R4/8/4n1P1/P1R3K1/1PP5/8 w - - 1 39,g3h4 f7h7 d6h6 h7h6,1157,200,75,34,anastasiaMate endgame mate mateIn2 short,https://lichess.org/brQz1DeI#77,
0Etij,2nr4/1q3N1k/pPp4p/8/4P2p/1QP2P1b/PP3P2/4R1K1 w - - 0 29,f7d8 b7g7 g1h2 g7g2,797,78,100,231,endgame mate mateIn2 short,https://lichess.org/XLlyiaq1#57,
0EtnL,2r5/1b5p/1p1r1kp1/p2p4/P2Kp3/1BP1RP1P/1P4P1/3R4 w - - 2 37,d1f1 c8c4 b3c4 d5c4 d4c4 b7a6 c4b3 a6f1,1951,75,96,4824,advantage attraction discoveredAttack discoveredCheck endgame sacrifice skewer veryLong,https://lichess.org/5Ojb8HlM#73,
0EtoC,8/8/5k1P/6p1/6Q1/5p1K/5P2/4q3 w - - 2 49,h6h7 e1h1 h3g3 h1g2,1623,76,95,18185,endgame mate mateIn2 queenEndgame short,https://lichess.org/8wRtitFs#97,
0Etou,3qQ2k/p2r2pp/8/2rn4/8/P2B4/1PP3PP/1R2R1K1 b - - 2 27,d8e8 e1e8,495,97,100,73,mate mateIn1 middlegame oneMove,https://lichess.org/SOmGAOfe/black#54,
0Eu1x,5r1k/1Qp3pp/1p1p4/8/3qP3/P4P2/1PP2nPP/R4R1K w - - 3 21,h1g1 f2h3 g1h1 d4g1 f1g1 h3f2,1334,77,89,2971,discoveredCheck doubleCheck endgame kingsideAttack long mate mateIn3 sacrifice smotheredMate,https://lichess.org/LCKENMUV#41,
0Eu4T,3r1rk1/p4ppp/1p3n2/2p5/2P2P1P/3BPK2/P5P1/1R1R4 b - - 5 23,d8d6 d3h7 f6h7 d1d6,575,98,86,661,crushing discoveredAttack endgame kingsideAttack short,https://lichess.org/JgJEhB49/black#46,
0Eu6Y,7k/pb6/7p/1PB2pp1/2Pp4/3Pr3/P5PP/1N3K2 b - - 3 34,a7a6 c5d4 h8g8 d4e3,957,80,90,228,crushing endgame fork short,https://lichess.org/WwqR5eWy/black#68,
0Eu7T,5Q2/1pp4p/p1b3p1/3r2k1/3q1p2/7R/PPP3PP/R5K1 w - - 0 24,g1h1 d4d1 a1d1 d5d1,592,96,90,120,endgame mate mateIn2 sacrifice short,https://lichess.org/8IJpHBjE#47,
0EuAl,rk3r2/pp2R1pp/1q4n1/3Q4/3p4/6P1/PP3PBP/2R3K1 b - - 7 25,g6e7 d5e5 b6d6 e5d6,1173,89,88,386,fork mate mateIn2 middlegame short,https://lichess.org/34KiOQnE/black#50,
